Date,Open,High,Low,Close,Volume
2019-04-04,3125.56,3266.36,2996.73,3097.19,42565496832
2019-04-03,3088.26,3461.98,2980.08,3125.05,57961009152
2019-04-02,2666.66,3114.67,2649.29,3087.3,48807452672
2019-04-01,2620.01,2698.5,2601.73,2666.53,22286966784
2019-03-31,2600.65,2643.42,2575.11,2620.93,20031553536
2019-03-30,2621.66,2745.91,2570.56,2623.22,22491594752
2019-03-29,2584.77,2657.02,2551.75,2624.17,24274946048
2019-03-28,2596.3,2619.68,2547.46,2585.06,20935454720
2019-03-27,2482.35,2605.46,2473.39,2596.99,25651437568
2019-03-26,2474.87,2497.51,2423.89,2483.05,22164926464
2019-03-25,2529.68,2548.09,2439.49,2475.61,22098812928
2019-03-24,2539.82,2568.79,2488.21,2527.95,20379906048
2019-03-23,2502.92,2566.03,2485.9,2540.89,20958005248
2019-03-22,2480.88,2540.41,2458.63,2504.45,20238983168
2019-03-21,2522,2562.13,2424.93,2483.4,23325181952
2019-03-20,2503.71,2539.34,2451.41,2521.75,22108733440
2019-03-19,2474.73,2521.23,2453.55,2502.82,20206903296
2019-03-18,2475.09,2521.25,2440.5,2474.77,21476997120
